espn_id,name,season,regular_season_games,postseason_games
4600981,Pat Bryant,2022,9,0
4600981,Pat Bryant,2023,12,0
4600981,Pat Bryant,2024,12,0
4241820,Sam Ehlinger,2017,8,1
4241820,Sam Ehlinger,2018,13,1
4241820,Sam Ehlinger,2019,12,1
4241820,Sam Ehlinger,2020,9,1
4431280,Troy Franklin,2021,8,1
4431280,Troy Franklin,2022,12,1
4431280,Troy Franklin,2023,13,0
4568490,RJ Harvey,2020,2,0
4568490,RJ Harvey,2022,11,1
4568490,RJ Harvey,2023,12,1
4568490,RJ Harvey,2024,12,0
4039057,Lil'Jordan Humphrey,2016,2,0
4039057,Lil'Jordan Humphrey,2017,11,0
4039057,Lil'Jordan Humphrey,2018,13,1
4432208,Caleb Lohner,2024,4,0
4722893,Jaleel McLaughlin,2020,7,0
