espn_id,name,position,season,college_team,stat_category,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,longPassing,sacks,QBRating
4240573,Ihmir Smith-Marsette,WR,2017,iowa-hawkeyes,receiving,18,187,10.4,2,31,,,,,,,,,,,,,,,
4240573,Ihmir Smith-Marsette,WR,2018,iowa-hawkeyes,receiving,23,361,15.7,3,60,,,,,,,,,,,,,,,
4240573,Ihmir Smith-Marsette,WR,2019,iowa-hawkeyes,receiving,44,722,16.4,5,58,,,,,,,,,,,,,,,
4240573,Ihmir Smith-Marsette,WR,2020,iowa-hawkeyes,receiving,25,345,13.8,4,53,,,,,,,,,,,,,,,
4240573,Ihmir Smith-Marsette,WR,2017,iowa-hawkeyes,rushing,,,,,,7,41,5.9,0,17,,,,,,,,,,
4240573,Ihmir Smith-Marsette,WR,2018,iowa-hawkeyes,rushing,,,,,,9,71,7.9,0,20,,,,,,,,,,
4240573,Ihmir Smith-Marsette,WR,2019,iowa-hawkeyes,rushing,,,,,,11,108,9.8,3,45,,,,,,,,,,
4240573,Ihmir Smith-Marsette,WR,2020,iowa-hawkeyes,rushing,,,,,,7,54,7.7,1,31,,,,,,,,,,
4240573,Ihmir Smith-Marsette,WR,2019,iowa-hawkeyes,passing,,,,,,,,,,,0,1,0.0,0,0.0,0,0,0,0,0.0
4428811,Xavier Weaver,WR,2019,south-florida-bulls,receiving,12,166,13.8,0,40,,,,,,,,,,,,,,,
4428811,Xavier Weaver,WR,2020,south-florida-bulls,receiving,10,136,13.6,0,26,,,,,,,,,,,,,,,
4428811,Xavier Weaver,WR,2021,south-florida-bulls,receiving,41,715,17.4,2,44,,,,,,,,,,,,,,,
4428811,Xavier Weaver,WR,2022,south-florida-bulls,receiving,53,718,13.5,6,63,,,,,,,,,,,,,,,
